x,y,z,reachable,last_phase,ik_distance,error
-0.25,-0.05,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.25,-0.05,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.25,-0.05,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.25,-0.05,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.25,0.0,0.08,False,grasp,nan,RuntimeError('motion planning failed')
-0.25,0.0,0.13,False,grasp,nan,RuntimeError('motion planning failed')
-0.25,0.0,0.18,False,lift,nan,truncated
-0.25,0.0,0.23,False,lift,nan,truncated
-0.25,0.0,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.25,0.05,0.08,False,grasp,nan,RuntimeError('motion planning failed')
-0.25,0.05,0.13,False,lift,nan,RuntimeError('motion planning failed')
-0.25,0.05,0.18,False,lift,nan,RuntimeError('motion planning failed')
-0.25,0.05,0.23,False,lift,nan,RuntimeError('motion planning failed')
-0.25,0.05,0.28,False,lift,nan,truncated
-0.25,0.1,0.08,False,grasp,nan,RuntimeError('motion planning failed')
-0.25,0.1,0.13,False,grasp,nan,RuntimeError('motion planning failed')
-0.25,0.1,0.18,False,grasp,nan,RuntimeError('motion planning failed')
-0.25,0.1,0.23,False,grasp,nan,RuntimeError('motion planning failed')
-0.25,0.1,0.28,False,grasp,nan,RuntimeError('motion planning failed')
-0.2,-0.15,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.15,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.15,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.15,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.15,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.1,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.1,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.1,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.1,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.1,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.05,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.05,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.05,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.05,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.2,-0.05,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.0,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.0,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.0,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.0,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.0,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.05,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.05,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.05,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.05,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.05,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.1,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.1,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.1,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.1,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.2,0.1,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.15,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.15,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.15,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.15,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.15,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.1,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.1,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.1,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.1,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.1,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.05,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.05,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.05,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.05,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.15,-0.05,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.0,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.0,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.0,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.0,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.0,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.05,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.05,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.05,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.05,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.05,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.1,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.1,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.1,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.1,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.15,0.1,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.15,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.15,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.15,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.15,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.15,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.1,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.1,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.1,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.1,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.1,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.05,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.05,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.05,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.05,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.1,-0.05,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.0,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.0,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.0,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.0,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.0,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.05,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.05,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.05,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.05,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.05,0.28,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.1,0.08,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.1,0.13,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.1,0.18,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.1,0.23,False,initial,nan,RuntimeError('motion planning failed')
-0.1,0.1,0.28,False,initial,nan,RuntimeError('motion planning failed')
