task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha_projected,m_prismatic_projected_correct,alpha_active_du,alpha_active_dv,alpha_active_yaw
libero_drawer,20260818,4,qualified,8,1,TP-GMM additive,True,,0.623279634048231,0.024484471320973894,True,0.9961953668696788,0.0019250043072189477,0.001591444071028839
libero_drawer,20260818,4,qualified,8,1,TP-GMM SE(2),True,,0.5402874620631337,0.02589003828694627,True,0.9194316181650175,0.0024726283636548373,0.0038505977241280664
libero_drawer,20260818,3,qualified,8,0,TP-GMM additive,True,,0.7237150720320642,0.02498182026063056,True,0.9954508579689686,0.003172679730750243,0.0026932911907214447
libero_drawer,20260818,3,qualified,8,0,TP-GMM SE(2),True,,0.5671922550536692,0.028728491014376224,True,0.9364649244378298,0.004162664509470156,0.0032995617939696083
libero_drawer,20260818,1,random,8,1,TP-GMM additive,True,,0.7390634539769962,0.025467877077436446,True,0.9948815891931001,0.004047220679078306,0.005118947979009072
libero_drawer,20260818,1,random,8,1,TP-GMM SE(2),True,,0.7529951019678265,0.025803939478307978,True,0.9819616553914667,0.004214596524346404,0.012617350438964916
libero_drawer,20260818,2,random,8,2,TP-GMM additive,True,,1.2658261160831898,0.024469881707945708,True,0.9969587793126622,0.006145223324784185,0.0014245051229968143
libero_drawer,20260818,2,random,8,2,TP-GMM SE(2),True,,1.1604490850586444,0.02590224262928154,True,0.9898175896409095,0.007461337012127523,0.004189308053757629
libero_drawer,20260818,5,qualified,8,2,TP-GMM additive,True,,1.4415765419835225,0.023597271001686942,True,0.9971977186288422,0.007938745107377108,0.002572936293346997
libero_drawer,20260818,5,qualified,8,2,TP-GMM SE(2),True,,1.0214591269614175,0.024721442466893798,True,0.9804330002410877,0.008229432388669668,0.006291541445613624
libero_drawer,20260818,11,qualified,15,2,TP-GMM additive,True,,1.5089422150049359,0.004127472520426,True,0.9979383356226862,0.005046219304919876,0.00493309521486893
libero_drawer,20260818,11,qualified,15,2,TP-GMM SE(2),True,,1.161801598034799,0.0008204934268040903,True,0.9732756045890273,0.0031089966194130726,0.008397011144980069
libero_drawer,20260818,0,random,8,0,TP-GMM additive,True,,1.5998716689646244,0.024582834290293232,True,0.9966616181564941,0.002604282717344064,0.002270409189610728
libero_drawer,20260818,0,random,8,0,TP-GMM SE(2),True,,1.1634088259888813,0.025091241505870953,True,0.9696523993941303,0.002658384914526049,0.006212436398216673
libero_drawer,20260818,9,qualified,15,0,TP-GMM additive,True,,2.018654176965356,0.0038039161139890166,True,0.9964703568532407,0.005132374856388373,0.0285735398956719
libero_drawer,20260818,9,qualified,15,0,TP-GMM SE(2),True,,0.8214314409997314,0.006143697529239188,True,0.8958295023735185,0.00530508635382168,0.002556969572418628
libero_drawer,20260818,6,random,15,0,TP-GMM additive,True,,1.9346997919492424,0.003828381310388117,True,0.9975332260622055,0.007555588609344724,0.0014025122654594538
libero_drawer,20260818,6,random,15,0,TP-GMM SE(2),True,,1.0264391369419172,0.002185201825734752,True,0.9104474415562447,0.0025369336973852415,0.0036704263700443945
