model,task_key,family,sample_size,accuracy,sum,count
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,container_in,8,1.0,18,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,container_in,8,1.0,18,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,container_in,15,0.0,0,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,container_in,15,0.0,0,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,container_in,15,1.0,18,18
TP-GMM SE(3),cream_cheese_in_bowl,container_in,15,1.0,18,18
Full operator (SE(3)),cream_cheese_in_bowl,container_in,15,1.0,18,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,container_in,15,1.0,18,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,container_in,15,1.0,18,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,container_in,30,0.0,0,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,container_in,30,0.0,0,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,container_in,30,1.0,18,18
TP-GMM SE(3),cream_cheese_in_bowl,container_in,30,1.0,18,18
Full operator (SE(3)),cream_cheese_in_bowl,container_in,30,1.0,18,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,container_in,30,1.0,18,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,container_in,30,1.0,18,18
Frame-weighted (SE(3)),wine_bottle_on_rack,rack_slot_placement,8,0.0,0,18
Phase scalar GP (SE(3)),wine_bottle_on_rack,rack_slot_placement,8,0.0,0,18
TP-GMM additive (SE(3)),wine_bottle_on_rack,rack_slot_placement,8,1.0,18,18
TP-GMM SE(3),wine_bottle_on_rack,rack_slot_placement,8,1.0,18,18
Full operator (SE(3)),wine_bottle_on_rack,rack_slot_placement,8,1.0,18,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,rack_slot_placement,8,1.0,18,18
Pdiag finite (SE(3)),wine_bottle_on_rack,rack_slot_placement,8,1.0,18,18
Frame-weighted (SE(3)),wine_bottle_on_rack,rack_slot_placement,15,0.0,0,18
Phase scalar GP (SE(3)),wine_bottle_on_rack,rack_slot_placement,15,0.0,0,18
TP-GMM additive (SE(3)),wine_bottle_on_rack,rack_slot_placement,15,1.0,18,18
TP-GMM SE(3),wine_bottle_on_rack,rack_slot_placement,15,1.0,18,18
Full operator (SE(3)),wine_bottle_on_rack,rack_slot_placement,15,1.0,18,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,rack_slot_placement,15,1.0,18,18
Pdiag finite (SE(3)),wine_bottle_on_rack,rack_slot_placement,15,1.0,18,18
Frame-weighted (SE(3)),wine_bottle_on_rack,rack_slot_placement,30,0.0,0,18
Phase scalar GP (SE(3)),wine_bottle_on_rack,rack_slot_placement,30,0.0,0,18
TP-GMM additive (SE(3)),wine_bottle_on_rack,rack_slot_placement,30,1.0,18,18
TP-GMM SE(3),wine_bottle_on_rack,rack_slot_placement,30,1.0,18,18
Full operator (SE(3)),wine_bottle_on_rack,rack_slot_placement,30,1.0,18,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,rack_slot_placement,30,1.0,18,18
Pdiag finite (SE(3)),wine_bottle_on_rack,rack_slot_placement,30,1.0,18,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,upright_support_placement,8,0.0,0,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,upright_support_placement,8,0.0,0,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,upright_support_placement,8,1.0,18,18
TP-GMM SE(3),wine_bottle_on_cabinet,upright_support_placement,8,1.0,18,18
Full operator (SE(3)),wine_bottle_on_cabinet,upright_support_placement,8,1.0,18,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,upright_support_placement,8,1.0,18,18
Pdiag finite (SE(3)),wine_bottle_on_cabinet,upright_support_placement,8,1.0,18,18
Frame-weighted (SE(3)),wine_bottle_on_cabinet,upright_support_placement,15,0.0,0,18
Phase scalar GP (SE(3)),wine_bottle_on_cabinet,upright_support_placement,15,0.0,0,18
TP-GMM additive (SE(3)),wine_bottle_on_cabinet,upright_support_placement,15,1.0,18,18
TP-GMM SE(3),wine_bottle_on_cabinet,upright_support_placement,15,1.0,18,18
Full operator (SE(3)),wine_bottle_on_cabinet,upright_support_placement,15,1.0,18,18
Pdiag pointwise (SE(3)),wine_bottle_on_cabinet,upright_support_placement,15,1.0,18,18
Pdiag finite (SE(3)),wine_bottle_on_cabinet,upright_support_placement,15,1.0,18,18
