dataset,episode,normalized_grasp_progress,stage_code
insert_jc_fix_3,1,0.4166666666666667,3
insert_jc_fix_3,1,0.42,3
insert_jc_fix_3,1,0.42333333333333334,3
insert_jc_fix_3,1,0.4266666666666667,3
insert_jc_fix_3,1,0.43,3
insert_jc_fix_3,1,0.43333333333333335,3
insert_jc_fix_3,1,0.43666666666666665,3
insert_jc_fix_3,1,0.44,3
insert_jc_fix_3,1,0.44333333333333336,3
insert_jc_fix_3,1,0.44666666666666666,3
insert_jc_fix_3,1,0.45,3
insert_jc_fix_3,1,0.4533333333333333,3
insert_jc_fix_3,1,0.45666666666666667,3
insert_jc_fix_3,1,0.46,3
insert_jc_fix_3,1,0.4633333333333333,3
insert_jc_fix_3,1,0.4666666666666667,3
insert_jc_fix_3,1,0.47,3
insert_jc_fix_3,1,0.47333333333333333,3
insert_jc_fix_3,1,0.4766666666666667,3
insert_jc_fix_3,1,0.48,3
insert_jc_fix_3,1,0.48333333333333334,3
insert_jc_fix_3,1,0.4866666666666667,3
insert_jc_fix_3,1,0.49,3
insert_jc_fix_3,1,0.49333333333333335,3
insert_jc_fix_3,1,0.49666666666666665,3
insert_jc_fix_3,1,0.5,3
insert_jc_fix_3,1,0.5033333333333333,3
insert_jc_fix_3,1,0.5066666666666667,3
insert_jc_fix_3,1,0.51,3
insert_jc_fix_3,1,0.5133333333333333,3
insert_jc_fix_3,1,0.5166666666666667,3
insert_jc_fix_3,1,0.52,3
insert_jc_fix_3,1,0.5233333333333333,3
insert_jc_fix_3,1,0.5266666666666666,3
insert_jc_fix_3,1,0.53,3
insert_jc_fix_3,1,0.5333333333333333,3
insert_jc_fix_3,1,0.5366666666666666,3
insert_jc_fix_3,1,0.54,3
insert_jc_fix_3,1,0.5433333333333333,3
insert_jc_fix_3,1,0.5466666666666666,3
insert_jc_fix_3,1,0.55,3
insert_jc_fix_3,1,0.5533333333333333,3
insert_jc_fix_3,1,0.5566666666666666,3
insert_jc_fix_3,1,0.56,3
insert_jc_fix_3,1,0.5633333333333334,3
insert_jc_fix_3,1,0.5666666666666667,3
insert_jc_fix_3,1,0.57,3
insert_jc_fix_3,1,0.5733333333333334,3
insert_jc_fix_3,1,0.5766666666666667,3
insert_jc_fix_3,1,0.58,3
insert_jc_fix_3,1,0.5833333333333334,3
insert_jc_fix_3,1,0.5866666666666667,3
insert_jc_fix_3,1,0.59,3
insert_jc_fix_3,1,0.5933333333333334,4
insert_jc_fix_3,1,0.5966666666666667,4
insert_jc_fix_3,1,0.6,4
insert_jc_fix_3,1,0.6033333333333334,4
insert_jc_fix_3,1,0.6066666666666667,4
insert_jc_fix_3,1,0.61,4
insert_jc_fix_3,1,0.6133333333333333,4
insert_jc_fix_3,1,0.6166666666666667,4
insert_jc_fix_3,1,0.62,4
insert_jc_fix_3,1,0.6233333333333333,4
insert_jc_fix_3,1,0.6266666666666667,4
insert_jc_fix_3,1,0.63,4
insert_jc_fix_3,1,0.6333333333333333,4
insert_jc_fix_3,1,0.6366666666666667,4
insert_jc_fix_3,1,0.64,4
insert_jc_fix_3,1,0.6433333333333333,4
insert_jc_fix_3,1,0.6466666666666666,4
insert_jc_fix_3,1,0.65,4
insert_jc_fix_3,1,0.6533333333333333,4
insert_jc_fix_3,1,0.6566666666666666,4
insert_jc_fix_3,1,0.66,4
insert_jc_fix_3,1,0.6633333333333333,4
insert_jc_fix_3,1,0.6666666666666666,4
insert_jc_fix_3,1,0.67,4
insert_jc_fix_3,1,0.6733333333333333,4
insert_jc_fix_3,1,0.6766666666666666,4
insert_jc_fix_3,1,0.68,4
insert_jc_fix_3,1,0.6833333333333333,4
insert_jc_fix_3,1,0.6866666666666666,4
insert_jc_fix_3,1,0.69,4
insert_jc_fix_3,1,0.6933333333333334,4
insert_jc_fix_3,1,0.6966666666666667,4
insert_jc_fix_3,1,0.7,4
insert_jc_fix_3,1,0.7033333333333334,4
insert_jc_fix_3,1,0.7066666666666667,4
insert_jc_fix_3,1,0.71,4
insert_jc_fix_3,1,0.7133333333333334,4
insert_jc_fix_3,1,0.7166666666666667,4
insert_jc_fix_3,1,0.72,4
insert_jc_fix_3,1,0.7233333333333334,4
insert_jc_fix_3,1,0.7266666666666667,4
insert_jc_fix_3,1,0.73,4
insert_jc_fix_3,1,0.7333333333333333,4
insert_jc_fix_3,1,0.7366666666666667,4
insert_jc_fix_3,1,0.74,4
insert_jc_fix_3,1,0.7433333333333333,4
insert_jc_fix_3,1,0.7466666666666667,4
insert_jc_fix_3,1,0.75,4
insert_jc_fix_3,1,0.7533333333333333,4
insert_jc_fix_3,1,0.7566666666666667,4
